MRCO_36647, material-9, jacarandá | madeira
MRSJ_23365, material-3, Madeira | Palhinha
MCHA_25791, materiais_tecnicas-2, Porcelana
MINC_173647, material, Ferro | Madeira | Tintas
MCHE_58784, materiais, Prata
MINC_116770, material, Ferro | Latão
MINC_141254, material, Folha-de-flandres | Tintas
MINC_232837, material, 
MINC_34768, material, Madeira | Pedra > Talcita | Tintas
MCHE_65149, materiais, Cobre | Cristal Bacará
MINC_87779, material, Prata
MRCO_36141, material-9, cristal | metal | prata
MASB_48904, material, Metal > Latão
MCBC_11664, material, Madeira > Ébano | Metal
MASB_62172, material, Madeira
MCHE_75922, materiais, Madeira | Pó de Ouro
MABO_757, material, metal | vidro
MINC_140372, material, Folha-de-flandres | Tintas
MCHE_58873, materiais, Prata
MCPR_37636, material, Metal
MINC_41682, material, Fibra Têxtil | Madeira > Jacarandá | Tintas
MABO_817, material, argila
MRCO_36233, material-9, ferro | metal
MCBC_10195, material, Argila | Tinta
MRCO_36435, material-9, madeira | prateada | tinta
MCHA_23113, materiais_tecnicas-2, Porcelana
MCHA_27559, materiais_tecnicas-2, Vidro
MCHE_59113, materiais, Prata
MCHE_54167, materiais, Cerâmica | Pó de Ouro
MINC_231590, material, 
MCHA_20714, materiais_tecnicas-2, Porcelana
MINC_73698, material, Madeira > Jacarandá | Palha > Junco
MCHE_67425, materiais, Madeira | Palhinha
MABO_488, material, 
MHNA_163467, material, aço | prata
MINC_187486, material, Madeira
MCHE_61215, materiais, Metal | Prata
MCHE_67261, materiais, Madeira | Palhinha
MDIA_31903, material-tecnica-3, cerâmica | esmalte | porcelana | queima | tinta
MRSJ_24386, material-3, Folha de Ouro | Madeira | Metal | Tinta
MCHE_73512, materiais, Gesso | Madeira | Pó de Ouro
MINC_142134, material, Folha-de-flandres | Tintas
MCHE_75947, materiais, Madeira | Pó de Ouro
MDIA_31132, material-tecnica-3, entrançado | jacarandá | madeira | marcenaria | palhinha
MINC_86667, material, Madeira > Cedro | Purpurina | Tintas
MCHE_76222, materiais, Ferro
MCHE_60925, materiais, Madeira | Palhinha
MHNA_162855, material, aço | prata
MCBC_9432, material, Madeira | Palhinha
MHNA_163371, material, aço | prata
MINC_141474, material, Folha-de-flandres | Tintas
MCHE_52597, materiais, Cerâmica | Pó de Ouro
MCHE_49267, materiais, Prata
MINC_26101, material, Prata
MCHA_21845, materiais_tecnicas-2, Porcelana
MINC_11309, material, Madeira
MHNA_166866, material, porcelana
MCBC_10474, material, Argila | Vidro > Cristal | Madeira | Metal
MRSJ_23242, material-3, Madeira | Palhinha
MCPR_36108, material, Metal > Ferro | Madeira
MINC_206403, material, Ferro | Madeira
MINC_39825, material, Ferro | Madeira
MCHE_44042, materiais, Madeira | Palhinha
MINC_223314, material, 
MCHE_62158, materiais, Cerâmica | Pó de Ouro | Tinta
MCHE_52717, materiais, Cerâmica | Pó de Ouro
MHNA_166829, material, porcelana
MCHA_24260, materiais_tecnicas-2, Porcelana
MBAN_1504, material, Madeira | Metal
MINC_175365, material, Madeira > Cedro | Ferro
MINC_186669, material, Madeira > Jacarandá | Palha > Junco
MCHE_42785, materiais, Prata
MCHE_60217, materiais, Prata
MCBC_9482, material, Couro | Madeira | Metal | Palhinha
MRCO_35957, material-9, madeira | palinha
MINC_73608, material, Madeira > Jacarandá | Palha > Junco
MCHE_60037, materiais, Prata
MCBC_10447, material, Madeira | Metal | Papelão | Tinta | Vidro
MCHA_24170, materiais_tecnicas-2, Porcelana
MINC_41042, material, Opalina
MINC_9742, material, Ferro | Madeira > Jacarandá
MCHE_45233, materiais, Cobre | Cristal Bacará
MDIA_33770, material-tecnica-3, porcelana | queima | tinta
MCHE_41069, materiais, Madeira | Palhinha
MINC_221479, material, Argila > Caolim | Esmalte | Ouro
MINC_145686, material, Pedra-sabão
MINC_72602, material, Latão | Madeira | Tintas
MRCO_36147, material-9, esmalte | porcelana | tinta
MINC_208142, material, Madeira > Jacarandá | Palha > Junco | Madeira
MCHE_49417, materiais, Prata
MCBC_10831, material, Vidro > Cristal
MINC_162439, material, Latão
MINC_229391, material, 
MCHE_56150, materiais, Cerâmica | Pó de Ouro
MINC_189072, material, Madeira | Osso
MINC_173949, material, Madeira
MCHE_49725, materiais, Prata
MINC_47557, material, Argila > Caolim | Esmalte
MINC_185757, material, Madeira
MINC_99673, material, Madeira
MCHE_46991, materiais, Madeira | Palhinha
MCHE_66306, materiais, Cerâmica | Pó de Ouro
MCHE_48933, materiais, Cobre
MCHE_49297, materiais, Prata
MCHA_20615, materiais_tecnicas-2, Porcelana
MHNA_160327, material, melamina
MCBC_10845, material, Vidro
MCHE_71948, materiais, Ferro
MRSJ_20217, material-3, Madeira
MCHE_74538, materiais, Gesso | Madeira | Pó de Ouro
MINC_168524, material, Ferro | Madeira
MCHA_19524, materiais_tecnicas-2, Porcelana
MINC_111697, material, Latão
MRCO_36472, material-9, madeira | tinta
MRCO_35895, material-9, folha de ouro | madeira | tinta
MCHA_26844, materiais_tecnicas-2, Vidro
MCBC_10895, material, Madeira | Palhinha
MDIA_31941, material-tecnica-3, cerâmica | decalcomania | esmalte | porcelana | queima | tinta
MINC_228163, material, 
MCBC_11502, material, Argila | Vidro > Cristal | Metal
MBAN_13109, material, Couro | Madeira
MCHE_61934, materiais, Cerâmica | Pó de Ouro | Tinta
MCHA_20516, materiais_tecnicas-2, Porcelana
MBAN_2628, material, Madeira > Aroeira
MINC_29269, material, Madeira > Jacarandá | Palha > Junco
MINC_232175, material, 
MINC_231362, material, 
MINC_203180, material, Madeira
MCHA_23395, materiais_tecnicas-2, Porcelana
MCBC_10805, material, Madeira | Metal | Tinta | Vidro
MINC_124439, material, Folha-de-flandres
MRCO_36089, material-9, madeira
MRSJ_27981, material-3, Folha de Ouro | Porcelana | Tinta
MCHE_51586, materiais, Madeira | Palhinha
MBAN_14266, material, Madeira | Fibra > Fibra Vegetal > Palha
MINC_233412, material, 
MINC_111819, material, Latão
MRSJ_23938, material-3, Folha de Ouro | Madeira | Metal | Tinta
MCHE_63975, materiais, Cristal | Metal
MCBC_10869, material, Madeira > Jacarandá | Metal
MCHA_31488, materiais_tecnicas-2, Terracota
MINC_23829, material, Ferro | Madeira > Jacarandá
MCHA_20747, materiais_tecnicas-2, Porcelana
MINC_37643, material, Aluminato de Prata | Madeira
MCHE_69374, materiais, Cerâmica | Pó de Ouro
MBAN_5040, material, Madeira > Jacarandá | Fibra > Fibra Vegetal > Palhinha
MINC_148577, material, Ferro
MINC_205880, material, Ferro | Madeira
MCBC_11510, material, Metal | Tinta
MCHE_44382, materiais, Cobre | Cristal Bacará
MRSJ_23406, material-3, Madeira | Palhinha
MINC_174710, material, Latão | Madeira
MCHE_48100, materiais, Ferro | Madeira
MINC_191785, material, Madeira | Tintas
MCHE_50306, materiais, Madeira | Palhinha
MCPR_37978, material, Metal
MCHE_54320, materiais, Prata
MINC_223081, material, Madeira
MABO_826, material, opalina
MHNA_166699, material, porcelana
MRSJ_24010, material-3, Madeira | Metal | Tinta
MINC_110470, material, Prata
MCHA_24410, materiais_tecnicas-2, Porcelana
MCHA_47919, materiais_tecnicas-2, Vidro
MCHE_57859, materiais, Metal | Prata
MCHA_27586, materiais_tecnicas-2, Vidro
MINC_162237, material, Latão
MINC_183840, material, Madeira > Jacarandá
MINC_224158, material, 
MINC_182873, material, Madeira
MCHE_72208, materiais, Cristal
MCHE_48574, materiais, Ferro | Madeira
MCHE_68616, materiais, Cerâmica | Pó de Ouro
MINC_235443, material, Madeira | Tintas | Vidro
MCHE_41928, materiais, Prata
MINC_9644, material, Madeira > Cedro
MCHE_71631, materiais, Cristal
MINC_35703, material, Madeira | Pedra > Talcita | Tintas
MCHE_55088, materiais, Cerâmica | Pó de Ouro | Tinta
MINC_208400, material, Madeira > Jacarandá | Palha > Junco
MINC_90014, material, Madeira > Jacarandá | Madeira
MCBC_10855, material, Vidro
MCHE_47350, materiais, Cristal
MINC_140504, material, Folha-de-flandres | Tintas
MCHA_15827, materiais_tecnicas-2, Madeira | Palhinha
MCHE_57610, materiais, Madeira | Mármore | Metal
MCHE_61184, materiais, Metal | Prata
MCBC_11458, material, Madeira | Mármore
MINC_71139, material, Folha-de-flandres | Madeira | Tintas
MHNA_166972, material, porcelana
MINC_124891, material, Latão
MRCO_36452, material-9, madeira | tinta
MCHE_55968, materiais, Cerâmica | Pó de Ouro
MDIA_31901, material-tecnica-3, cerâmica | esmalte | porcelana | queima | tinta
MCPR_37296, material, Rocha > Argila | Pigmento
MINC_141166, material, Folha-de-flandres | Tintas
MCHE_62696, materiais, Cristal
MCHE_64006, materiais, Cristal | Metal Dourado
MINC_91162, material, Latão
MCHE_74685, materiais, Madeira | Metal | Palhinha
MHNA_166512, material, porcelana
MCBC_11099, material, Madeira | Palhinha
MCBC_10823, material, Argila
MCHA_20876, materiais_tecnicas-2, Porcelana
MCPR_45570, material, Metal > Metal Moldado
MRCO_36635, material-9, metal > bronze | cristal | metal
MRSJ_21152, material-3, Madeira | Metal
MCHE_61904, materiais, Cerâmica | Pó de Ouro
MCPR_32758, material, Metal
MCHA_22687, materiais_tecnicas-2, Porcelana
MCHE_52116, materiais, Prata
MCBC_10171, material, Madeira
MINC_166097, material, Madeira > Pinho-de-riga | Tintas
MINC_31456, material, Madeira > Cedro | Ouro | Tintas
MINC_141386, material, Folha-de-flandres | Tintas
MCHE_75847, materiais, Madeira | Pó de Ouro
MINC_128254, material, Madeira > Jacarandá | Palha > Junco
MRSJ_26962, material-3, Madeira
MRSJ_20134, material-3, Madeira
MCHE_60187, materiais, Prata
MINC_30711, material, Madeira | Ouro | Tintas
MCHE_76498, materiais, Cerâmica | Pó de Ouro
MABO_492, material, prata
MASB_61956, material, Madeira > Cedro
MHNA_160414, material, melamina
MRCO_36007, material-9, madeira | palinha
MCPR_35654, material, Metal > Ferro | Madeira | Pigmento
MCBC_9254, material, Argila | Vidro > Cristal | Metal
MINC_233295, material, 
MCHE_45669, materiais, Tafetá
MDIA_33893, material-tecnica-3, fundição | metal
MCBC_9500, material, Madeira > Jacarandá | Palhinha
MCBC_9210, material, Madeira > Jacarandá | Palhinha
MCHE_47058, materiais, Madeira | Palhinha
MCBC_11692, material, Madeira > Ébano | Metal
MINC_141782, material, Folha-de-flandres | Tintas
MCPR_35047, material, Metal > Ferro | Madeira | Tinta
MINC_209054, material, Ferro | Madeira
MCBC_10369, material, Linha | Tecido
MCHE_43320, materiais, Prata
MCHE_64646, materiais, Cerâmica | Pó de Ouro | Tinta
MASB_49122, material, Metal > Latão | Metal > Níquel
MINC_70752, material, Madeira > Jacarandá | Latão
MINC_175626, material, Madeira
MCHE_67458, materiais, Cristal
MCHE_57978, materiais, Prata
MINC_110790, material, Prata
MCBC_10827, material, Vidro
MCHE_75351, materiais, Madeira | Mármore
MRSJ_23324, material-3, Madeira | Palhinha
MCHE_73944, materiais, Gesso | Madeira | Pó de Ouro
MRSJ_20907, material-3, Madeira
MRSJ_22545, material-3, Madeira | Palhinha
MINC_174607, material, Ferro | Madeira > Jacarandá
MINC_87625, material, Aço | Prata
MCHE_59857, materiais, Prata
MDIA_31149, material-tecnica-3, madeira | marcenaria
MCHA_35272, materiais_tecnicas-2, Bordado | Tecido de algodão
MBAN_4922, material, Madeira > Jacarandá
MCPR_37110, material, Rocha > Argila
MINC_175866, material, Madeira > Jacarandá | Palha > Junco
MINC_31499, material, Madeira | Ouro | Tintas
MINC_25476, material, Ferro | Madeira > Jacarandá
MINC_140284, material, Folha-de-flandres | Tintas
MRCO_36836, material-9, madeira | metal
MINC_141342, material, Folha-de-flandres | Tintas
MDIA_32041, material-tecnica-3, entalhe | marfim
MCHA_19369, materiais_tecnicas-2, Porcelana
MCHA_24320, materiais_tecnicas-2, Porcelana
MINC_139876, material, Folha-de-flandres | Purpurina | Tintas
MCPR_45157, material, Metal > Metal Esmaltado
MCHE_74820, materiais, Madeira | Palhinha
MINC_176119, material, Ferro | Madeira | Tintas
MCHA_28093, materiais_tecnicas-2, Vidro
MCHE_46206, materiais, Linha de Algodão | Linho
MINC_25625, material, Madeira > Vinhático
MCHE_56872, materiais, Madeira | Mármore
MINC_186719, material, Madeira > Jacarandá | Palha > Junco
MCHE_55340, materiais, Cerâmica | Pó de Ouro
MINC_230542, material, 
MINC_186383, material, Madeira > Jacarandá | Palha > Junco
MCHE_63190, materiais, Cerâmica | Pó de Ouro
MHNA_162823, material, aço | prata
MCHE_52627, materiais, Cerâmica | Pó de Ouro
MCHE_59680, materiais, Prata
MCHA_27765, materiais_tecnicas-2, Vidro
MBAN_14346, material, Rocha > Argila
MCPR_38009, material, Metal
MCHE_73095, materiais, Cerâmica | Pó de Ouro | Tinta
MCHE_49357, materiais, Prata
MINC_96820, material, Vidro
MABO_829, material, opalina
MBAN_5233, material, Madeira | Fibra > Fibra Vegetal > Palhinha
MCHE_43382, materiais, Prata
MRSJ_16677, material-3, Metal (folha-de-flandres) | Tinta
MCHE_63373, materiais, Madeira | Palhinha
MOUR_5689, material-tecnica-3, bronze | fundição | latão | prensa
MINC_222789, material, Madeira | Ouro | Tintas
MCHE_64352, materiais, Espelho de Cristal | Gesso | Madeira | Pó de Ouro
MCBC_10825, material, Vidro
MCHE_68556, materiais, Cerâmica | Pó de Ouro
MCHE_54991, materiais, Cerâmica | Pó de Ouro
MINC_163335, material, Latão
MCHA_24138, materiais_tecnicas-2, Porcelana
MDIA_31758, material-tecnica-3, fundição | madeira | marcenaria | metal
MINC_229550, material, 
MCHE_50760, materiais, Cerâmica | Pó de Ouro | Tinta
MCHE_47789, materiais, Madeira | Palhinha
MCHE_51360, materiais, Cerâmica | Pó de Ouro
MDIA_31859, material-tecnica-3, madeira | marcenaria | torneado
MABO_482, material, argila | metal
MCHE_51818, materiais, Madeira | Palhinha
MINC_47100, material, Argila > Caolim | Esmalte
MDIA_33908, material-tecnica-3, fundição | metal
MHNA_166668, material, porcelana
MINC_175817, material, Madeira > Jacarandá | Palha > Junco
MINC_188957, material, Madeira > Jacarandá | Palha > Junco
MRSJ_23532, material-3, Madeira | Palhinha
MRSJ_22504, material-3, Madeira | Palhinha
MCHE_62442, materiais, Cerâmica | Pó de Ouro
MCHA_23275, materiais_tecnicas-2, Porcelana
MCHE_64451, materiais, Espelho de Cristal | Gesso | Madeira | Pó de Ouro
MINC_171373, material, Madeira
MINC_187428, material, Ferro | Latão | Madeira
MINC_127736, material, Madeira > Jacarandá | Palha > Junco | Madeira
MCBC_11662, material, Madeira > Ébano | Metal
MINC_188217, material, Madeira
MDIA_31587, material-tecnica-3, fundição | metal
MINC_100539, material, Madeira > Canela-parda | Ferro | Tintas
MCHA_23221, materiais_tecnicas-2, Porcelana
MCHE_51484, materiais, Cristal
MCHE_53791, materiais, Cerâmica | Pó de Ouro
MCHE_49327, materiais, Prata
MINC_172268, material, Madeira > Jacarandá | Palha > Junco
MCHE_51620, materiais, Cristal
MINC_186609, material, Madeira > Jacarandá | Palha > Junco | Madeira
MCHE_45825, materiais, Prata
MCHE_74052, materiais, Gesso | Madeira | Pó de Ouro
MCHE_66123, materiais, Cerâmica | Pó de Ouro
MINC_184856, material, Madeira
MINC_161688, material, Madeira > Jacarandá | Tintas
MCBC_11702, material, Madeira > Ébano | Metal
MCHE_58334, materiais, Prata
MINC_88666, material, Madeira > Cedro | Madeira > Jacarandá
MRCO_37108, material-9, cristal | ferro | vidro
MBAN_5826, material, Rocha > Argila
MCHE_49602, materiais, Prata
MCHE_46689, materiais, Prata
MRCO_36275, material-9, madeira
MASB_63280, material, Metal > Prata
MCHE_40588, materiais, Prata
MCHE_68282, materiais, Cerâmica | Pó de Ouro
MCBC_9496, material, Madeira > Jacarandá | Palhinha
MINC_148620, material, Ferro
MINC_10215, material, Ferro | Folha-de-flandres | Vidro
MCHA_15178, materiais_tecnicas-2, Madeira | Metal
MRSJ_28025, material-3, 
MCHE_65081, materiais, Cobre | Cristal Bacará
MCHE_74133, materiais, Gesso | Madeira | Pó de Ouro
MINC_184579, material, Madeira > Jacarandá | Madeira > Vinhático
MCHE_74484, materiais, Gesso | Madeira | Pó de Ouro
MCHE_55021, materiais, Cerâmica | Pó de Ouro | Tinta
MINC_187892, material, Madeira
MINC_175470, material, Madeira
MCHA_21368, materiais_tecnicas-2, Porcelana
MCHE_53053, materiais, Cerâmica | Pó de Ouro
MCBC_9472, material, Couro | Madeira | Metal | Palhinha
MINC_36400, material, Latão | Madeira
MRCO_36139, material-9, vidro
MINC_208858, material, Ferro | Madeira
MCBC_11666, material, Madeira > Ébano | Metal
MRCO_36850, material-9, folha de ouro | madeira | metal
MCHE_43159, materiais, Prata
MCHE_46959, materiais, Ferro
MCHE_44688, materiais, Cobre | Cristal Bacará
MINC_111658, material, Latão
MHNA_163751, material, prata 90
MINC_232549, material, Madeira | Metal
MCHE_55845, materiais, Cerâmica | Pó de Ouro
MCHE_61028, materiais, Metal | Prata
MCHA_15689, materiais_tecnicas-2, Madeira | Palhinha
MCHA_21335, materiais_tecnicas-2, Porcelana
MHNA_168229, material, cristal
MCHA_18935, materiais_tecnicas-2, Porcelana
MCHE_59768, materiais, Prata
MCBC_9486, material, Madeira > Jacarandá | Palhinha
MCHE_45611, materiais, Vidro
MCBC_9536, material, Couro | Madeira | Palhinha
MCHA_21038, materiais_tecnicas-2, Porcelana
MRSJ_20666, material-3, Madeira
MDIA_34321, material-tecnica-3, entrançado | jacarandá | madeira | marcenaria | palhinha
MCHA_15862, materiais_tecnicas-2, Madeira | Palhinha
MINC_188647, material, Madeira > Jacarandá | Palha > Junco
MCHE_42695, materiais, Prata
MHNA_163890, material, prata 90
MCHE_71348, materiais, Linha de Algodão | Linho
MINC_174049, material, Madeira > Cedro | Ferro | Madeira > Jacarandá
MCHE_54533, materiais, Cerâmica | Pó de Ouro
MCHE_48503, materiais, Ferro | Madeira | Mármore | Vidro
MCHE_48030, materiais, Madeira | Palhinha
MCHA_14946, materiais_tecnicas-2, Espelho | Madeira | Mármore | Metal
MRSJ_23037, material-3, Madeira | Palhinha
MINC_15834, material, Ferro
MCHE_54072, materiais, Ferro
MINC_141914, material, Folha-de-flandres | Tintas
MBAN_4550, material, Madeira
MINC_168462, material, Ferro | Madeira
MINC_85130, material, Madeira | Tintas
MCHE_45063, materiais, Cobre | Cristal Bacará
MCHE_43694, materiais, Cerâmica | Pó de Ouro | Tinta
MCHE_42290, materiais, Prata
MCPR_36830, material, Rocha > Argila
MINC_100065, material, Madeira
MCHA_23005, materiais_tecnicas-2, Porcelana
MCHE_65840, materiais, Cerâmica | Pó de Ouro
MCHA_24290, materiais_tecnicas-2, Porcelana
MINC_175161, material, Madeira > Cedro
MDIA_31987, material-tecnica-3, cerâmica | decalcomania | esmalte | porcelana | queima | tinta
MCHE_64418, materiais, Espelho de Cristal | Gesso | Madeira | Pó de Ouro
MINC_42633, material, Madeira > Cedro | Ferro | Folha-de-flandres
MCPR_44103, material, Madeira | Metal
MINC_82641, material, Madeira > Cedro | Tintas
MINC_18042, material, Folha-de-flandres | Vidro
MRCO_36243, material-9, ferro | madeira | metal
MINC_41989, material, Ferro | Latão | Madeira > Vinhático
MCHE_42452, materiais, Prata
MRSJ_20584, material-3, Madeira
MCHE_61519, materiais, Cerâmica | Pó de Ouro
MCHE_60824, materiais, Madeira
MINC_223421, material, 
MCBC_10743, material, Vidro > Cristal
MINC_29357, material, Madeira > Jacarandá | Palha > Junco
MINC_41233, material, Couro | Latão | Madeira
MCHE_58068, materiais, Prata
MCHA_18656, materiais_tecnicas-2, Porcelana
MDIA_33268, material-tecnica-3, entalhe | fundição | madeira | metal | policromia | tinta
MINC_110423, material, Prata
MCHE_64221, materiais, Espelho de Cristal | Gesso | Madeira | Pó de Ouro
MCHE_63128, materiais, Cerâmica | Pó de Ouro
MCHE_44179, materiais, Cobre | Cristal Bacará
MCHE_53567, materiais, Cerâmica | Pó de Ouro
MRSJ_16717, material-3, Metal (folha-de-flandres) | Tinta
MCHE_75897, materiais, Madeira | Pó de Ouro
MCHA_22019, materiais_tecnicas-2, Porcelana
MCBC_9202, material, Madeira > Jacarandá | Metal | Tecido Oleado
MCHE_73566, materiais, Gesso | Madeira | Pó de Ouro
MCBC_10739, material, Vidro > Cristal
MBAN_4882, material, Madeira > Jacarandá | Fibra > Fibra Vegetal > Palhinha
MINC_11948, material, Ferro
MINC_140814, material, Folha-de-flandres | Tintas
MINC_15920, material, Ferro
MCHA_22658, materiais_tecnicas-2, Porcelana
MINC_123360, material, Ferro | Folha-de-flandres
MINC_110933, material, Prata
MINC_208956, material, Ferro | Madeira
MCHE_62858, materiais, Cerâmica | Pó de Ouro
MINC_14904, material, Madeira
MINC_34149, material, Madeira | Ouro
MRSJ_23283, material-3, Madeira | Palhinha
MCHE_75772, materiais, Madeira | Pó de Ouro
MCHE_40169, materiais, Prata
MINC_98271, material, Aluminato de Prata | Folha-de-flandres
MCPR_38189, material, Metal > Ferro | Madeira
MCBC_9456, material, Madeira | Mármore | Metal | Tinta | Vidro
MHNA_163211, material, prata
MINC_228663, material, 
MINC_70653, material, Madeira > Jacarandá | Madeira
MINC_100491, material, Ferro | Madeira > Jacarandá | Tintas
MRCO_35945, material-9, madeira | palinha
MCHE_51853, materiais, Madeira | Palhinha
MCHE_53731, materiais, Cerâmica | Pó de Ouro
MRCO_35953, material-9, madeira | palinha
MDIA_32109, material-tecnica-3, entrançado | madeira | marcenaria | palhinha
MINC_43263, material, Madeira | Tintas
MCHE_62378, materiais, Ferro
MCHE_72174, materiais, Cristal
MCHA_22265, materiais_tecnicas-2, Porcelana
MINC_224493, material, 
MCHE_58186, materiais, Prata
MCHE_68493, materiais, Cerâmica | Pó de Ouro
MCHE_48644, materiais, Ferro | Madeira | Mármore | Vidro
MCHE_61964, materiais, Madeira | Palhinha
MINC_141298, material, Folha-de-flandres | Tintas
MCBC_10773, material, Argila | Tinta
MCHA_22978, materiais_tecnicas-2, Porcelana
MCHE_65507, materiais, Cerâmica | Pó de Ouro
MRSJ_24067, material-3, Folha de Ouro | Madeira | Pedra | Tinta | Vidro
MASB_47283, material, Metal > Cobre | Metal > Prata
MCHE_55556, materiais, Cerâmica | Pó de Ouro
MCHE_64809, materiais, Cobre | Cristal Bacará
MCHA_19555, materiais_tecnicas-2, Porcelana
MCHE_76172, materiais, Madeira | Pó de Ouro
MCHE_70063, materiais, Madeira | Palhinha
MINC_99422, material, Madeira > Jacarandá
MCHE_45547, materiais, Vidro
MCPR_37234, material, Rocha > Argila
MCBC_10745, material, Vidro > Cristal
MINC_9843, material, Madeira > Cedro | Madeira > Jacarandá | Metal
MINC_112279, material, Latão
MCHE_62888, materiais, Cerâmica | Pó de Ouro
MHNA_159801, material, vidro
MCHA_18718, materiais_tecnicas-2, Porcelana
MCBC_10889, material, Madeira | Palhinha
MCHA_20812, materiais_tecnicas-2, Porcelana
MCHE_56710, materiais, Prata
MCBC_9466, material, Madeira > Jacarandá | Metal
MCBC_11642, material, Madeira > Ébano | Metal
MINC_140460, material, Folha-de-flandres | Tintas
MABO_501, material, prata
MCHE_43976, materiais, Cobre | Cristal Bacará
MASB_48837, material, Metal > Latão
MINC_37466, material, Madeira | Tintas
MCBC_10887, material, Madeira | Palhinha
MCHE_46659, materiais, Prata
MRCO_36129, material-9, esmalte | porcelana | tinta
MCHE_60853, materiais, Madeira | Mármore
MCHE_69224, materiais, Cerâmica | Pó de Ouro
MCHE_61616, materiais, Cerâmica | Pó de Ouro
MINC_140152, material, Folha-de-flandres | Tintas
MCHE_58574, materiais, Prata
MCHA_19648, materiais_tecnicas-2, Porcelana
MINC_20377, material, Ferro | Madeira > Jacarandá
MCHE_43034, materiais, Prata
MCHE_67159, materiais, Cobre | Cristal Bacará
MINC_87830, material, Prata
MCHE_64099, materiais, Cerâmica | Pó de Ouro | Tinta
MCHE_58604, materiais, Prata
MRSJ_20506, material-3, Madeira
MCHE_63697, materiais, Cerâmica | Pó de Ouro
MRCO_35832, material-9, folha de ouro | madeira | tinta
MINC_183892, material, Madeira | Fibra Têxtil > Seda | Tintas
MINC_235306, material, 
MINC_123506, material, Ferro | Folha-de-flandres
MCBC_10645, material, Metal > Prata
MCHE_71696, materiais, Cobre | Cristal Bacará
MCHA_22187, materiais_tecnicas-2, Porcelana
MOUR_5253, material-tecnica-3, ferro fundido | madeira | marcenaria
MCHA_19431, materiais_tecnicas-2, Porcelana
MINC_175730, material, Madeira > Jacarandá | Palha > Junco
MINC_70563, material, Madeira > Jacarandá | Madeira
MDIA_31306, material-tecnica-3, madeira | marcenaria | marchetaria | recorte | vidro
MINC_102145, material, Ferro
MINC_208640, material, Madeira | Metal
MDIA_31967, material-tecnica-3, cerâmica | decalcomania | esmalte | porcelana | queima | tinta
MCHA_35245, materiais_tecnicas-2, Filó com bordados | Tecido de algodão
MCHA_32012, materiais_tecnicas-2, Vidro
MCHE_57312, materiais, Vidro
MCHE_68646, materiais, Cerâmica | Pó de Ouro
MINC_12195, material, Ferro | Latão
MCBC_10761, material, Vidro > Cristal
MCHE_43725, materiais, Cerâmica | Pó de Ouro | Tinta
MCHE_69133, materiais, Cerâmica | Pó de Ouro | Tinta
MINC_110980, material, Prata
MCHA_24200, materiais_tecnicas-2, Porcelana
MCHE_73620, materiais, Gesso | Madeira | Pó de Ouro
MHNA_163276, material, prata
MCBC_10077, material, Argila
MCHE_46870, materiais, Linha de Algodão | Linho
MBAN_1791, material, Metal
MCHE_61122, materiais, Prata
MCBC_9220, material, Madeira > Jacarandá | Palhinha
MINC_123997, material, Folha-de-flandres
MCHE_64748, materiais, Cerâmica | Pó de Ouro
MCHE_66702, materiais, Cerâmica | Pó de Ouro
MCBC_11688, material, Madeira > Ébano | Metal
MINC_10547, material, Latão
MINC_168582, material, Madeira > Jacarandá | Madeira
MINC_174303, material, Ferro | Madeira
MCHA_14619, materiais_tecnicas-2, Madeira de cedro
MCHE_53445, materiais, Cerâmica | Pó de Ouro
MINC_141694, material, Folha-de-flandres | Tintas
MCHE_58215, materiais, Prata
MCHE_68736, materiais, Cerâmica | Pó de Ouro
MCHE_56362, materiais, Prata
MCHE_52084, materiais, Prata
MINC_73412, material, Ferro | Madeira
MCBC_11680, material, Madeira > Ébano | Metal
MCHA_30651, materiais_tecnicas-2, Madeira | Metal
MINC_80209, material, Madeira | Ouro
MDIA_31960, material-tecnica-3, cerâmica | decalcomania | esmalte | porcelana | queima | tinta
MCBC_9226, material, Madeira | Metal
MINC_172219, material, Madeira > Jacarandá | Palha > Junco
MINC_12097, material, Ferro | Latão
MCBC_11115, material, Madeira | Metal | Vidro
MINC_111440, material, Prata
MCBC_11640, material, Madeira > Ébano | Metal
MRSJ_23877, material-3, Folha de Ouro | Madeira | Metal | Tinta
MCHE_56120, materiais, Cerâmica | Pó de Ouro
MCBC_10759, material, Vidro > Cristal
MINC_84056, material, Argila > Caolim | Esmalte
MCHE_67490, materiais, Cerâmica | Pó de Ouro | Tinta
MINC_205985, material, Madeira > Jacarandá
MCHA_25080, materiais_tecnicas-2, Porcelana
MINC_127984, material, Madeira > Jacarandá | Palha > Junco
MCHE_41415, materiais, Madeira | Palhinha
MBAN_1547, material, Madeira | Metal
MINC_33925, material, Madeira | Tintas
MDIA_33794, material-tecnica-3, argila | pintura | queima | tinta
MCHA_18966, materiais_tecnicas-2, Porcelana
MCHA_23032, materiais_tecnicas-2, Porcelana
MCHE_43849, materiais, Cerâmica | Pó de Ouro | Tinta
MINC_112483, material, Latão
MINC_175262, material, Madeira
MOUR_5275, material-tecnica-3, fundição | madeira | metal | recorte
MBAN_10227, material, Madeira
MCHA_24440, materiais_tecnicas-2, Porcelana
MCBC_10087, material, Argila
MCBC_11151, material, Argila | Vidro > Cristal | Madeira | Metal
MRCO_36633, material-9, metal
MHNA_164071, material, prata 90
